Round 1483 section-border QA

PASS: desktop-home.html: expected=pink; breaks=4; old_breaks=0; css_links=1
PASS: index.html: expected=pink; breaks=4; old_breaks=0; css_links=1
PASS: mobile-home.html: expected=pink; breaks=4; old_breaks=0; css_links=1
PASS: solutions.html: expected=green; breaks=3; old_breaks=0; css_links=1
PASS: mobile-solutions.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: learning-center.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: mobile-learning-center.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: who-we-help.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: mobile-who-we-help.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: about.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: mobile-about.html: expected=green; breaks=2; old_breaks=0; css_links=1
PASS: pricing.html: expected=green; breaks=4; old_breaks=0; css_links=1
PASS: mobile-pricing.html: expected=green; breaks=4; old_breaks=0; css_links=1

policies.html: redirect-only page to About; no standalone visible horizontal content sections.
